eventID,observationID,scientificName,scientificNameID,taxonRank,authority,vernacularName,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,basisOfRecord,occurrenceStatus,occurrenceRemarks
RICE001_NB_2016-06-27_FQ5,RICE001_NB_2016-06-27_FQ5_17,Pisaster ochraceus,urn:lsid:marinespecies.org:taxname:240755,SPECIES,"(Brandt, 1835)",Ochre star,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,5,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_FQ5,RICE001_NB_2016-06-27_FQ5_18,Pugettia gracilis,urn:lsid:marinespecies.org:taxname:441478,SPECIES,"Dana, 1851",Graceful kelp crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_MQ1,RICE001_NB_2016-06-27_MQ1_19,Hemigrapsus nudus,urn:lsid:marinespecies.org:taxname:444776,SPECIES,"(Dana, 1851)",Purple Shore Crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_MQ2,RICE001_NB_2016-06-27_MQ2_20,Hemigrapsus nudus,urn:lsid:marinespecies.org:taxname:444776,SPECIES,"(Dana, 1851)",Purple Shore Crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,8,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_MQ3,RICE001_NB_2016-06-27_MQ3_21,Hemigrapsus nudus,urn:lsid:marinespecies.org:taxname:444776,SPECIES,"(Dana, 1851)",Purple Shore Crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_MQ3,RICE001_NB_2016-06-27_MQ3_22,Gastropoda,urn:lsid:marinespecies.org:taxname:101,CLASS,"Cuvier, 1795",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_MQ4,RICE001_NB_2016-06-27_MQ4_23,Hemigrapsus nudus,urn:lsid:marinespecies.org:taxname:444776,SPECIES,"(Dana, 1851)",Purple Shore Crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_MQ5,RICE001_NB_2016-06-27_MQ5_24,Hemigrapsus nudus,urn:lsid:marinespecies.org:taxname:444776,SPECIES,"(Dana, 1851)",Purple Shore Crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE001_NB_2016-06-27_MQ5,RICE001_NB_2016-06-27_MQ5_25,Gastropoda,urn:lsid:marinespecies.org:taxname:101,CLASS,"Cuvier, 1795",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE003_WB_2016-09-14_BQ4,RICE003_WB_2016-09-14_BQ4_26,Gastropoda,urn:lsid:marinespecies.org:taxname:101,CLASS,"Cuvier, 1795",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE003_WB_2016-09-14_FQ1,RICE003_WB_2016-09-14_FQ1_27,Hemigrapsus nudus,urn:lsid:marinespecies.org:taxname:444776,SPECIES,"(Dana, 1851)",Purple Shore Crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE003_WB_2016-09-14_FQ1,RICE003_WB_2016-09-14_FQ1_28,Platyhelminthes,urn:lsid:marinespecies.org:taxname:793,PHYLUM,"Minot, 1876",Flatworm,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE003_WB_2016-09-14_FQ1,RICE003_WB_2016-09-14_FQ1_29,Gastropoda,urn:lsid:marinespecies.org:taxname:101,CLASS,"Cuvier, 1795",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE003_WB_2016-09-14_FQ2,RICE003_WB_2016-09-14_FQ2_30,Cyanoplax,urn:lsid:marinespecies.org:taxname:385574,GENUS,"Pilsbry, 1892",NA,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE003_WB_2016-09-14_FQ2,RICE003_WB_2016-09-14_FQ2_31,Pagurus granosimanus,urn:lsid:marinespecies.org:taxname:366694,SPECIES,"(Stimpson, 1859)",Granular hermit crab,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
RICE003_WB_2016-09-14_FQ2,RICE003_WB_2016-09-14_FQ2_32,Platyhelminthes,urn:lsid:marinespecies.org:taxname:793,PHYLUM,"Minot, 1876",Flatworm,individualCount,https://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,NA,dimensionless,https://vocab.nerc.ac.uk/collection/P06/current/UUUU/,HumanObservation,present,NA
