scientific_name,authority,scientific_name_full
Paciocinebrina interfossa,"(P. P. Carpenter, 1864)","Paciocinebrina interfossa (P. P. Carpenter, 1864)"
Olivella,"Swainson, 1831","Olivella Swainson, 1831"
Olivella baetica,"P. P. Carpenter, 1864","Olivella baetica P. P. Carpenter, 1864"
Olivella biplicata,"(G. B. Sowerby I, 1825)","Olivella biplicata (G. B. Sowerby I, 1825)"
Nudibranchia,"Cuvier, 1817","Nudibranchia Cuvier, 1817"
Hermissenda crassicornis,"(Eschscholtz, 1831)","Hermissenda crassicornis (Eschscholtz, 1831)"
Dendronotus diversicolor,"Robilliard, 1970","Dendronotus diversicolor Robilliard, 1970"
Dendronotus iris,"J. G. Cooper, 1863","Dendronotus iris J. G. Cooper, 1863"
Melibe leonina,"(A. Gould, 1852)","Melibe leonina (A. Gould, 1852)"
Coryphella trilineata,"O'Donoghue, 1921","Coryphella trilineata O'Donoghue, 1921"
Dirona albolineata,"MacFarland, 1905","Dirona albolineata MacFarland, 1905"
Janolus fuscus,"O'Donoghue, 1924","Janolus fuscus O'Donoghue, 1924"
Tochuina tetraquetra,"(Pallas, 1788)","Tochuina tetraquetra (Pallas, 1788)"
Cadlina modesta,"MacFarland, 1966","Cadlina modesta MacFarland, 1966"
Diaulula sandiegensis,"(J. G. Cooper, 1863)","Diaulula sandiegensis (J. G. Cooper, 1863)"
Peltodoris nobilis,"(MacFarland, 1905)","Peltodoris nobilis (MacFarland, 1905)"
Dorididae,"Rafinesque, 1815","Dorididae Rafinesque, 1815"
Triopha catalinae,"(J. G. Cooper, 1863)","Triopha catalinae (J. G. Cooper, 1863)"
Haminoea,"W. Turton & Kingston, 1830","Haminoea W. Turton & Kingston, 1830"
Onchidella borealis,"Dall, 1871","Onchidella borealis Dall, 1871"
Aplysiopsis enteromorphae,"(Eliot, 1905)","Aplysiopsis enteromorphae (Eliot, 1905)"
Acmaea mitra,"Rathke, 1833","Acmaea mitra Rathke, 1833"
Lottioidea ,"J. E. Gray, 1840 ","Lottioidea J. E. Gray, 1840 "
Lottia,"J. E. Gray, 1833","Lottia J. E. Gray, 1833"
Lottia asmi,"(Middendorff, 1848)","Lottia asmi (Middendorff, 1848)"
Lottia digitalis,"(Rathke, 1833)","Lottia digitalis (Rathke, 1833)"
Lottia paradigitalis,"(Fritchman, 1960)","Lottia paradigitalis (Fritchman, 1960)"
Lottia pelta,"(Rathke, 1833)","Lottia pelta (Rathke, 1833)"
Lottia scutum,"(Rathke, 1833)","Lottia scutum (Rathke, 1833)"
Tectura persona,"(Rathke, 1833)","Tectura persona (Rathke, 1833)"
Diodora aspera,"(Rathke, 1833)","Diodora aspera (Rathke, 1833)"
Fissurellidea bimaculata,"Dall, 1871","Fissurellidea bimaculata Dall, 1871"
Haliotis kamtschatkana,"Jonas, 1845","Haliotis kamtschatkana Jonas, 1845"
Calliostoma,"Swainson, 1840","Calliostoma Swainson, 1840"
Calliostoma annulatum,"([Lightfoot], 1786)","Calliostoma annulatum ([Lightfoot], 1786)"
Calliostoma canaliculatum,"([Lightfoot], 1786)","Calliostoma canaliculatum ([Lightfoot], 1786)"
Calliostoma ligatum,"(A. Gould, 1849)","Calliostoma ligatum (A. Gould, 1849)"
Homalopoma,"P. P. Carpenter, 1864","Homalopoma P. P. Carpenter, 1864"
Margarites,"J. E. Gray, 1847","Margarites J. E. Gray, 1847"
Tegula,"Lesson, 1833","Tegula Lesson, 1833"
Tegula funebralis,"(A. Adams, 1855)","Tegula funebralis (A. Adams, 1855)"
Tegula pulligo,"(Gmelin, 1791)","Tegula pulligo (Gmelin, 1791)"
Trochidae,"Rafinesque, 1815","Trochidae Rafinesque, 1815"
Pomaulax gibberosus,"(Dillwyn, 1817)","Pomaulax gibberosus (Dillwyn, 1817)"
Polyplacophora,"Gray, 1821","Polyplacophora Gray, 1821"
Cryptochiton stelleri,"(Middendorff, 1847)","Cryptochiton stelleri (Middendorff, 1847)"
Katharina tunicata,"(W. Wood, 1815)","Katharina tunicata (W. Wood, 1815)"
Mopalia,"Gray, 1847","Mopalia Gray, 1847"
Mopalia muscosa,"(A. Gould, 1846)","Mopalia muscosa (A. Gould, 1846)"
Placiphorella rufa,"S. S. Berry, 1917","Placiphorella rufa S. S. Berry, 1917"
Cyanoplax,"Pilsbry, 1892","Cyanoplax Pilsbry, 1892"
Cyanoplax dentiens,"(A. Gould, 1846)","Cyanoplax dentiens (A. Gould, 1846)"
Cyanoplax hartwegii,"(P. P. Carpenter, 1856)","Cyanoplax hartwegii (P. P. Carpenter, 1856)"
Tonicella,"P. P. Carpenter, 1873","Tonicella P. P. Carpenter, 1873"
Tonicella undocaerulea,"Sirenko, 1973","Tonicella undocaerulea Sirenko, 1973"
Tonicella insignis,"(Reeve, 1847)","Tonicella insignis (Reeve, 1847)"
Tonicella lineata,"(W. Wood, 1815)","Tonicella lineata (W. Wood, 1815)"
Lepidozona,"Pilsbry, 1892","Lepidozona Pilsbry, 1892"
Lepidozona mertensii,"(Middendorff, 1847)","Lepidozona mertensii (Middendorff, 1847)"
Nematoda,,Nematoda 
Nemertea,,Nemertea 
Amphiporus,"Ehrenberg, 1831","Amphiporus Ehrenberg, 1831"
Amphiporus imparispinosus,"Griffin, 1898","Amphiporus imparispinosus Griffin, 1898"
Emplectonema gracile,"(Johnston, 1837)","Emplectonema gracile (Johnston, 1837)"
Paranemertes,"Coe, 1901","Paranemertes Coe, 1901"
Paranemertes peregrina,"Coe, 1901","Paranemertes peregrina Coe, 1901"
Platyhelminthes,"Minot, 1876","Platyhelminthes Minot, 1876"
Porifera,"Grant, 1836","Porifera Grant, 1836"
Haliclona,"Grant, 1841","Haliclona Grant, 1841"
Haliclona permollis,"(Bowerbank, 1866)","Haliclona permollis (Bowerbank, 1866)"
Ophlitaspongia pennata,"(Lambe, 1895)","Ophlitaspongia pennata (Lambe, 1895)"
Halichondria,"Fleming, 1828","Halichondria Fleming, 1828"
Sipuncula,"Stephen, 1965","Sipuncula Stephen, 1965"
Bacillariophyceae,"Haeckel, 1878","Bacillariophyceae Haeckel, 1878"
Phaeophyceae,"Kjellman, 1891","Phaeophyceae Kjellman, 1891"
Desmarestia,"J.V.Lamouroux, 1813","Desmarestia J.V.Lamouroux, 1813"
Desmarestia aculeata,"(Linnaeus) J.V.Lamouroux, 1813","Desmarestia aculeata (Linnaeus) J.V.Lamouroux, 1813"
Desmarestia foliacea,"V.A.Pease, 1920","Desmarestia foliacea V.A.Pease, 1920"
Desmarestia ligulata,"(Stackhouse) J.V.Lamouroux, 1813","Desmarestia ligulata (Stackhouse) J.V.Lamouroux, 1813"
Desmarestia munda,"Setchell & N.L.Gardner, 1924","Desmarestia munda Setchell & N.L.Gardner, 1924"
Desmarestia viridis,"(O.F.Müller) J.V.Lamouroux, 1813","Desmarestia viridis (O.F.Müller) J.V.Lamouroux, 1813"
Laminariales,"Migula, 1909","Laminariales Migula, 1909"
Agarum,"Dumortier, 1822","Agarum Dumortier, 1822"
Alaria marginata,"Postels & Ruprecht, 1840","Alaria marginata Postels & Ruprecht, 1840"
Alaria nana,"H.F.Schrader, 1903","Alaria nana H.F.Schrader, 1903"
Pleurophycus gardneri,"Setchell & Saunders ex Tilden, 1900","Pleurophycus gardneri Setchell & Saunders ex Tilden, 1900"
Pterygophora californica,"Ruprecht, 1852","Pterygophora californica Ruprecht, 1852"
Costaria costata,"(C.Agardh) De A.Saunders, 1895","Costaria costata (C.Agardh) De A.Saunders, 1895"
Dictyoneurum californicum,"Ruprecht, 1852","Dictyoneurum californicum Ruprecht, 1852"
Cymathaere triplicata,"(Postels & Ruprecht) J.Agardh, 1868","Cymathaere triplicata (Postels & Ruprecht) J.Agardh, 1868"
Laminaria,"J.V. Lamouroux, 1813","Laminaria J.V. Lamouroux, 1813"
Laminaria ephemera,"Setchell, 1901","Laminaria ephemera Setchell, 1901"
Laminaria setchellii,"P.C.Silva, 1957","Laminaria setchellii P.C.Silva, 1957"
Laminaria yezoensis,"Miyabe, 1902","Laminaria yezoensis Miyabe, 1902"
Macrocystis integrifolia,"Bory, 1826","Macrocystis integrifolia Bory, 1826"
Macrocystis pyrifera,"(Linnaeus) C.Agardh, 1820","Macrocystis pyrifera (Linnaeus) C.Agardh, 1820"
Nereocystis luetkeana,"(K.Mertens) Postels & Ruprecht, 1840","Nereocystis luetkeana (K.Mertens) Postels & Ruprecht, 1840"
Saccharina,"Stackhouse, 1809","Saccharina Stackhouse, 1809"
Saccharina latissima,"(Linnaeus) C.E.Lane, C.Mayes, Druehl & G.W.Saunders, 2006","Saccharina latissima (Linnaeus) C.E.Lane, C.Mayes, Druehl & G.W.Saunders, 2006"
Saccharina nigripes,"(J.Agardh) Lontin & G.W.Saunders, 2015","Saccharina nigripes (J.Agardh) Lontin & G.W.Saunders, 2015"
Saccharina sessilis,"(C.Agardh) Kuntze, 1891","Saccharina sessilis (C.Agardh) Kuntze, 1891"
Egregia menziesii,"(Turner) Areschoug, 1876","Egregia menziesii (Turner) Areschoug, 1876"
Eisenia arborea,"J.E.Areschoug, 1876","Eisenia arborea J.E.Areschoug, 1876"
Dictyota,"J.V.Lamouroux, 1809","Dictyota J.V.Lamouroux, 1809"
Elachista fucicola,"(Velley) Areschoug, 1842","Elachista fucicola (Velley) Areschoug, 1842"
Leathesia,"S.F.Gray, 1821","Leathesia S.F.Gray, 1821"
Leathesia difformis,"Areschoug, 1847","Leathesia difformis Areschoug, 1847"
Leathesia marina,"(Lyngbye) Decaisne, 1842","Leathesia marina (Lyngbye) Decaisne, 1842"
Melanosiphon intestinalis,"(De A.Saunders) M.J.Wynne, 1969","Melanosiphon intestinalis (De A.Saunders) M.J.Wynne, 1969"
Ectocarpus,"Lyngbye, 1819","Ectocarpus Lyngbye, 1819"
Analipus japonicus,"(Harvey) M.J.Wynne, 1971","Analipus japonicus (Harvey) M.J.Wynne, 1971"
Colpomenia,"(Endlicher) Derbès & Solier, 1851","Colpomenia (Endlicher) Derbès & Solier, 1851"
Colpomenia peregrina,"Sauvageau, 1927","Colpomenia peregrina Sauvageau, 1927"
Scytosiphon lomentaria,"(Lyngbye) Link, 1833","Scytosiphon lomentaria (Lyngbye) Link, 1833"
Fucus distichus,"Linnaeus, 1767","Fucus distichus Linnaeus, 1767"
Silvetia compressa,"(J.Agardh) E.Serrão, T.O.Cho, S.M.Boo & Brawley, 1999","Silvetia compressa (J.Agardh) E.Serrão, T.O.Cho, S.M.Boo & Brawley, 1999"
Sargassum muticum,"(Yendo) Fensholt, 1955","Sargassum muticum (Yendo) Fensholt, 1955"
Ralfsia,"Berkeley, 1843","Ralfsia Berkeley, 1843"
Plantae,"Haeckel, 1866","Plantae Haeckel, 1866"
Rhodophyta,"Wettstein, 1901","Rhodophyta Wettstein, 1901"
Bangiaceae,"Duby, 1830","Bangiaceae Duby, 1830"
Porphyra,"C.Agardh, 1824","Porphyra C.Agardh, 1824"
Pyropia,"J.Agardh, 1899","Pyropia J.Agardh, 1899"
Pyropia abbottiae,"(V.Krishnamurthy) S.C.Lindstrom, 2011","Pyropia abbottiae (V.Krishnamurthy) S.C.Lindstrom, 2011"
Pyropia fucicola,"(V.Krishnamurthy) S.C.Lindstrom, 2011","Pyropia fucicola (V.Krishnamurthy) S.C.Lindstrom, 2011"
Pyropia perforata,"(J.Agardh) S.C.Lindstrom, 2011","Pyropia perforata (J.Agardh) S.C.Lindstrom, 2011"
Wildemania norrisii,"(V.Krishnamurthy) S.C.Lindstrom, 2011","Wildemania norrisii (V.Krishnamurthy) S.C.Lindstrom, 2011"
Chamberlainium tumidum,"(Foslie) Caragnano, Foetisch, Maneveldt & Payri, 2018","Chamberlainium tumidum (Foslie) Caragnano, Foetisch, Maneveldt & Payri, 2018"
Ahnfeltia fastigiata,"(Endlicher) Makienko, 1970","Ahnfeltia fastigiata (Endlicher) Makienko, 1970"
Corallinales,"P.C. Silva & H.W. Johansen, 1986","Corallinales P.C. Silva & H.W. Johansen, 1986"
Bossiella,"P.C.Silva, 1957","Bossiella P.C.Silva, 1957"
Bossiella mayae,"P.W.Gabrielson, K.R.Hind, Martone & C.P.Jensen, 2018","Bossiella mayae P.W.Gabrielson, K.R.Hind, Martone & C.P.Jensen, 2018"
Calliarthron,"Manza, 1937","Calliarthron Manza, 1937"
Corallina,"Linnaeus, 1758","Corallina Linnaeus, 1758"
Corallina vancouveriensis,"Yendo, 1902","Corallina vancouveriensis Yendo, 1902"
Melobesia mediocris,"(Foslie) Setchell & L.R.Mason, 1943","Melobesia mediocris (Foslie) Setchell & L.R.Mason, 1943"
Hildenbrandia,"Nardo, 1834","Hildenbrandia Nardo, 1834"
Hildenbrandia occidentalis,"Setchell, 1917","Hildenbrandia occidentalis Setchell, 1917"
Hildenbrandia rubra,"(Sommerfelt) Meneghini, 1841","Hildenbrandia rubra (Sommerfelt) Meneghini, 1841"
Nemalion elminthoides,"(Velley) Batters, 1902","Nemalion elminthoides (Velley) Batters, 1902"
Halosaccion glandiforme,"(S.G.Gmelin) Ruprecht, 1850","Halosaccion glandiforme (S.G.Gmelin) Ruprecht, 1850"
Palmaria,"Stackhouse, 1802","Palmaria Stackhouse, 1802"
Callithamnion,"Lyngbye, 1819","Callithamnion Lyngbye, 1819"
Callithamnion pikeanum,"Harvey, 1853","Callithamnion pikeanum Harvey, 1853"
Ptilota,"C.Agardh, 1817","Ptilota C.Agardh, 1817"
Cumathamnion,"M.J.Wynne & K.Daniels, 1966","Cumathamnion M.J.Wynne & K.Daniels, 1966"
Cryptopleura,"Kützing, 1843","Cryptopleura Kützing, 1843"
Hymenena,"Greville, 1830","Hymenena Greville, 1830"
Polyneura latissima,"(Harvey) Kylin, 1924","Polyneura latissima (Harvey) Kylin, 1924"
Neorhodomela aculeata,"(Perestenko) Masuda, 1982","Neorhodomela aculeata (Perestenko) Masuda, 1982"
Neorhodomela larix,"(Turner) Masuda, 1982","Neorhodomela larix (Turner) Masuda, 1982"
Odonthalia,"Lyngbye, 1819","Odonthalia Lyngbye, 1819"
Odonthalia floccosa,"(Esper) Falkenberg, 1901","Odonthalia floccosa (Esper) Falkenberg, 1901"
Polysiphonia,"Greville, 1823","Polysiphonia Greville, 1823"
Pterosiphonia,"Falkenberg, 1897","Pterosiphonia Falkenberg, 1897"
Pterosiphonia bipinnata,"(Postels & Ruprecht) Falkenberg, 1901","Pterosiphonia bipinnata (Postels & Ruprecht) Falkenberg, 1901"
Savoiea robusta,,Savoiea robusta 
Ceramium,"Roth, 1797","Ceramium Roth, 1797"
Microcladia borealis,"Ruprecht, 1850","Microcladia borealis Ruprecht, 1850"
Microcladia coulteri,"Harvey, 1853","Microcladia coulteri Harvey, 1853"
Gelidium,"J.V. Lamouroux, 1813","Gelidium J.V. Lamouroux, 1813"
Constantinea,"Postels & Ruprecht, 1840","Constantinea Postels & Ruprecht, 1840"
Cryptosiphonia woodii,"(J.Agardh) J.Agardh, 1876","Cryptosiphonia woodii (J.Agardh) J.Agardh, 1876"
Dilsea,"Stackhouse, 1809","Dilsea Stackhouse, 1809"
Farlowia mollis,"(Harvey & Bailey) Farlow & Setchell, 1901","Farlowia mollis (Harvey & Bailey) Farlow & Setchell, 1901"
Endocladia muricata,"(Endlicher) J.Agardh, 1847","Endocladia muricata (Endlicher) J.Agardh, 1847"
Gloiopeltis furcata,"(Postels & Ruprecht) J.Agardh, 1851","Gloiopeltis furcata (Postels & Ruprecht) J.Agardh, 1851"
Opuntiella californica,"(Farlow) Kylin, 1925","Opuntiella californica (Farlow) Kylin, 1925"
Chondracanthus exasperatus,"(Harvey & Bailey) Hughey, 1996","Chondracanthus exasperatus (Harvey & Bailey) Hughey, 1996"
Mazzaella,"G. De Toni, 1936","Mazzaella G. De Toni, 1936"
Callophyllis,"Kützing, 1843","Callophyllis Kützing, 1843"
Mastocarpus,"Kützing, 1843","Mastocarpus Kützing, 1843"
Mastocarpus papillatus,"(C.Agardh) Kützing, 1843","Mastocarpus papillatus (C.Agardh) Kützing, 1843"
Gracilaria,"Greville, 1830","Gracilaria Greville, 1830"
Prionitis,"J.Agardh, 1851","Prionitis J.Agardh, 1851"
Schizymenia,"J.Agardh, 1851","Schizymenia J.Agardh, 1851"
Plocamium,"J.V.Lamouroux, 1813","Plocamium J.V.Lamouroux, 1813"
Plocamium violaceum,"Farlow, 1877","Plocamium violaceum Farlow, 1877"
Fauchea laciniata,"J.Agardh, 1885","Fauchea laciniata J.Agardh, 1885"
Sparlingia pertusa,"(Postels & Ruprecht) G.W.Saunders, I.M.Strachan & Kraft, 1999","Sparlingia pertusa (Postels & Ruprecht) G.W.Saunders, I.M.Strachan & Kraft, 1999"
Smithora naiadum,"(C.L.Anderson) Hollenberg, 1959","Smithora naiadum (C.L.Anderson) Hollenberg, 1959"
Acrosiphonia,"J.Agardh, 1846","Acrosiphonia J.Agardh, 1846"
Prasiola,"Meneghini, 1838","Prasiola Meneghini, 1838"
Ulvophyceae,"K.R. Mattox & K.D. Stewart, 1978","Ulvophyceae K.R. Mattox & K.D. Stewart, 1978"
Codium fragile,"(Suringar) Hariot, 1889","Codium fragile (Suringar) Hariot, 1889"
Codium setchellii,"N.L.Gardner, 1919","Codium setchellii N.L.Gardner, 1919"
Derbesia marina,"(Lyngbye) Solier, 1846","Derbesia marina (Lyngbye) Solier, 1846"
Bryopsis,"J.V.Lamouroux, 1809","Bryopsis J.V.Lamouroux, 1809"
Cladophora,"Kützing, 1843","Cladophora Kützing, 1843"
Cladophora columbiana,"F.S.Collins, 1903","Cladophora columbiana F.S.Collins, 1903"
Cladophora sericea,"(Hudson) Kützing, 1843","Cladophora sericea (Hudson) Kützing, 1843"
Monostroma,"Thuret, 1854","Monostroma Thuret, 1854"
Lola lubrica,"(Setchell & N.L.Gardner) A.Hamel & G.Hamel, 1929","Lola lubrica (Setchell & N.L.Gardner) A.Hamel & G.Hamel, 1929"
Ulva,"Linnaeus, 1753","Ulva Linnaeus, 1753"
Ulva intestinalis,"Linnaeus, 1753","Ulva intestinalis Linnaeus, 1753"
Ulva lactuca,"Linnaeus, 1753","Ulva lactuca Linnaeus, 1753"
Phyllospadix,"W.J.Hooker, 183","Phyllospadix W.J.Hooker, 183"
Phyllospadix scouleri,"W.J.Hooker, 1838","Phyllospadix scouleri W.J.Hooker, 1838"
Phyllospadix serrulatus,"Ruprecht ex Ascherson, 1868","Phyllospadix serrulatus Ruprecht ex Ascherson, 1868"
Phyllospadix torreyi,"S.Watson, 1879","Phyllospadix torreyi S.Watson, 1879"
Zostera,L.,Zostera L.
Zostera marina,"Linnaeus, 1753","Zostera marina Linnaeus, 1753"
