scientific_name,authority,scientific_name_full
Rhacochilus vacca,"(Girard, 1855)","Rhacochilus vacca (Girard, 1855)"
Ammodytes hexapterus,"Pallas, 1814","Ammodytes hexapterus Pallas, 1814"
Trichodon trichodon,"(Tilesius, 1813)","Trichodon trichodon (Tilesius, 1813)"
Anarrhichthys ocellatus,"Ayres, 1855","Anarrhichthys ocellatus Ayres, 1855"
Apodichthys flavidus,"Girard, 1854","Apodichthys flavidus Girard, 1854"
Pholis laeta,"(Cope, 1873)","Pholis laeta (Cope, 1873)"
Ptilichthys goodei,"Bean, 1881","Ptilichthys goodei Bean, 1881"
Chirolophis decoratus,"(Jordan & Snyder, 1902)","Chirolophis decoratus (Jordan & Snyder, 1902)"
Lumpenus sagitta,"Wilimovsky, 1956","Lumpenus sagitta Wilimovsky, 1956"
Anoplarchus insignis,"Gilbert & Burke, 1912","Anoplarchus insignis Gilbert & Burke, 1912"
Anoplarchus purpurescens,"Gill, 1861","Anoplarchus purpurescens Gill, 1861"
Xiphister mucosus,"(Girard, 1858)","Xiphister mucosus (Girard, 1858)"
Citharichthys sordidus,"(Girard, 1854)","Citharichthys sordidus (Girard, 1854)"
Citharichthys stigmaeus,"Jordan & Gilbert, 1882","Citharichthys stigmaeus Jordan & Gilbert, 1882"
Lepidopsetta bilineata,"(Ayres, 1855)","Lepidopsetta bilineata (Ayres, 1855)"
Parophrys vetulus,"Girard, 1854","Parophrys vetulus Girard, 1854"
Platichthys stellatus,"(Pallas, 1787)","Platichthys stellatus (Pallas, 1787)"
Pleuronichthys coenosus,"Girard, 1854","Pleuronichthys coenosus Girard, 1854"
Pleuronichthys decurrens,"Jordan & Gilbert, 1881","Pleuronichthys decurrens Jordan & Gilbert, 1881"
Psettichthys melanostictus,"Girard, 1854","Psettichthys melanostictus Girard, 1854"
Oncorhynchus gorbuscha,"(Walbaum, 1792)","Oncorhynchus gorbuscha (Walbaum, 1792)"
Oncorhynchus kisutch,"(Walbaum, 1792)","Oncorhynchus kisutch (Walbaum, 1792)"
Oncorhynchus mykiss,"(Walbaum, 1792)","Oncorhynchus mykiss (Walbaum, 1792)"
Oncorhynchus tshawytscha,"(Walbaum, 1792)","Oncorhynchus tshawytscha (Walbaum, 1792)"
Salvelinus malma,"(Walbaum, 1792)","Salvelinus malma (Walbaum, 1792)"
Odontopyxis trispinosa,"Lockington, 1880","Odontopyxis trispinosa Lockington, 1880"
Pallasina barbata,"(Steindachner, 1876)","Pallasina barbata (Steindachner, 1876)"
Cottidae,"Bonaparte, 1831","Cottidae Bonaparte, 1831"
Artedius fenestralis,"Jordan & Gilbert, 1883","Artedius fenestralis Jordan & Gilbert, 1883"
Artedius lateralis,"(Girard, 1854)","Artedius lateralis (Girard, 1854)"
Chitonotus pugetensis,"(Steindachner, 1876)","Chitonotus pugetensis (Steindachner, 1876)"
Clinocottus acuticeps,"(Gilbert, 1896)","Clinocottus acuticeps (Gilbert, 1896)"
Cottus asper,"Richardson, 1836","Cottus asper Richardson, 1836"
Enophrys bison,"(Girard, 1854)","Enophrys bison (Girard, 1854)"
Hemilepidotus hemilepidotus,"(Tilesius, 1811)","Hemilepidotus hemilepidotus (Tilesius, 1811)"
Leptocottus armatus,"Girard, 1854","Leptocottus armatus Girard, 1854"
Myoxocephalus polyacanthocephalus,"(Pallas, 1814)","Myoxocephalus polyacanthocephalus (Pallas, 1814)"
Oligocottus maculosus,"Girard, 1856","Oligocottus maculosus Girard, 1856"
Oligocottus rimensis,"(Greeley, 1899)","Oligocottus rimensis (Greeley, 1899)"
Scorpaenichthys marmoratus,"(Ayres, 1854)","Scorpaenichthys marmoratus (Ayres, 1854)"
Synchirus gilli,"Bean, 1890","Synchirus gilli Bean, 1890"
Blepsias cirrhosus,"(Pallas, 1814)","Blepsias cirrhosus (Pallas, 1814)"
Nautichthys oculofasciatus,"(Girard, 1858)","Nautichthys oculofasciatus (Girard, 1858)"
Rhamphocottus richardsonii,"Günther, 1874","Rhamphocottus richardsonii Günther, 1874"
Hexagrammos decagrammus,"(Pallas, 1810)","Hexagrammos decagrammus (Pallas, 1810)"
Hexagrammos lagocephalus,"(Pallas, 1810)","Hexagrammos lagocephalus (Pallas, 1810)"
Hexagrammos stelleri,"Tilesius, 1810","Hexagrammos stelleri Tilesius, 1810"
Ophiodon elongatus,"Girard, 1854","Ophiodon elongatus Girard, 1854"
Oxylebius pictus,"Gill, 1862","Oxylebius pictus Gill, 1862"
Sebastes,"Cuvier, 1829","Sebastes Cuvier, 1829"
Sebastes brevispinis,"(Bean, 1884)","Sebastes brevispinis (Bean, 1884)"
Sebastes caurinus,"Richardson, 1844","Sebastes caurinus Richardson, 1844"
Sebastes ciliatus,"(Tilesius, 1813)","Sebastes ciliatus (Tilesius, 1813)"
Sebastes diaconus,"Frable, Wagman, Frierson, Aguilar & Sidlauskas, 2015","Sebastes diaconus Frable, Wagman, Frierson, Aguilar & Sidlauskas, 2015"
Sebastes flavidus,"(Ayres, 1862)","Sebastes flavidus (Ayres, 1862)"
Sebastes maliger,"(Jordan & Gilbert, 1880)","Sebastes maliger (Jordan & Gilbert, 1880)"
Sebastes melanops,"Girard, 1856","Sebastes melanops Girard, 1856"
Sebastes miniatus,"(Jordan & Gilbert, 1880)","Sebastes miniatus (Jordan & Gilbert, 1880)"
Sebastes nebulosus,"Ayres, 1854","Sebastes nebulosus Ayres, 1854"
Sebastes nigrocinctus,"Ayres, 1859","Sebastes nigrocinctus Ayres, 1859"
Sebastes paucispinis,"Ayres, 1854","Sebastes paucispinis Ayres, 1854"
Syngnathus leptorhynchus,"Girard, 1854","Syngnathus leptorhynchus Girard, 1854"
Hydrolagus colliei,"(Lay & Bennett, 1839)","Hydrolagus colliei (Lay & Bennett, 1839)"
Actiniaria,"Hertwig, 1882","Actiniaria Hertwig, 1882"
Anthopleura,"Duchassaing de Fonbressin & Michelotti, 1860","Anthopleura Duchassaing de Fonbressin & Michelotti, 1860"
Anthopleura artemisia,"(Pickering in Dana, 1846)","Anthopleura artemisia (Pickering in Dana, 1846)"
Anthopleura elegantissima,"(Brandt, 1835)","Anthopleura elegantissima (Brandt, 1835)"
Anthopleura sola,"Pearse & Francis, 2000","Anthopleura sola Pearse & Francis, 2000"
Anthopleura xanthogrammica,"(Brandt, 1835)","Anthopleura xanthogrammica (Brandt, 1835)"
Epiactis lisbethae,"Fautin & Chia, 1986","Epiactis lisbethae Fautin & Chia, 1986"
Epiactis ritteri,"Torrey, 1902","Epiactis ritteri Torrey, 1902"
Urticina crassicornis,"(Müller, 1776)","Urticina crassicornis (Müller, 1776)"
Metridium,"de Blainville, 1824","Metridium de Blainville, 1824"
Alcyonacea,"Lamouroux, 1812","Alcyonacea Lamouroux, 1812"
Stauromedusae,"Haeckel, 1879","Stauromedusae Haeckel, 1879"
Hydrozoa,"Owen, 1843","Hydrozoa Owen, 1843"
Ectopleura,"L. Agassiz, 1862","Ectopleura L. Agassiz, 1862"
Polyorchis penicillatus,"(Eschscholtz, 1829)","Polyorchis penicillatus (Eschscholtz, 1829)"
Eudendrium californicum,"Torrey, 1902","Eudendrium californicum Torrey, 1902"
Clava,,Clava 
Aequorea,"Péron & Lesueur, 1810","Aequorea Péron & Lesueur, 1810"
Mitrocoma cellularia,"(Agassiz, 1862)","Mitrocoma cellularia (Agassiz, 1862)"
Aglaophenia latirostris,"Nutting, 1900","Aglaophenia latirostris Nutting, 1900"
Sertularella turgida,"(Trask, 1857)","Sertularella turgida (Trask, 1857)"
Abietinaria,"Kirchenpauer, 1884","Abietinaria Kirchenpauer, 1884"
Abietinaria greenei,"(Murray, 1860)","Abietinaria greenei (Murray, 1860)"
Amphisbetia furcata,"(Trask, 1857)","Amphisbetia furcata (Trask, 1857)"
Gonionemus vertens,"A. Agassiz, 1862","Gonionemus vertens A. Agassiz, 1862"
Cyanea capillata,"(Linnaeus, 1758)","Cyanea capillata (Linnaeus, 1758)"
Aurelia labiata,"Chamisso & Eysenhardt, 1821","Aurelia labiata Chamisso & Eysenhardt, 1821"
Ctenophora,"Eschscholtz, 1829","Ctenophora Eschscholtz, 1829"
Pleurobrachia bachei,"A. Agassiz, in L. Agassiz, 1860","Pleurobrachia bachei A. Agassiz, in L. Agassiz, 1860"
Asteroidea,"de Blainville, 1830","Asteroidea de Blainville, 1830"
Pteraster,"Müller & Troschel, 1842","Pteraster Müller & Troschel, 1842"
Pteraster militaris,"(O.F. Müller, 1776)","Pteraster militaris (O.F. Müller, 1776)"
Pteraster tesselatus,"Ives, 1888","Pteraster tesselatus Ives, 1888"
Evasterias troschelii,"(Stimpson, 1862)","Evasterias troschelii (Stimpson, 1862)"
Leptasterias,"Verrill, 1866","Leptasterias Verrill, 1866"
Leptasterias aequalis,"(Stimpson, 1862)","Leptasterias aequalis (Stimpson, 1862)"
Leptasterias hexactis,"(Stimpson, 1862)","Leptasterias hexactis (Stimpson, 1862)"
Lethasterias nanimensis,"(Verrill, 1914)","Lethasterias nanimensis (Verrill, 1914)"
Orthasterias koehleri,"(deLoriol, 1897)","Orthasterias koehleri (deLoriol, 1897)"
Pisaster,"Müller & Troschel, 1840","Pisaster Müller & Troschel, 1840"
Pisaster brevispinus,"(Stimpson, 1857)","Pisaster brevispinus (Stimpson, 1857)"
Pisaster giganteus,"(Stimpson, 1857)","Pisaster giganteus (Stimpson, 1857)"
Pisaster ochraceus,"(Brandt, 1835)","Pisaster ochraceus (Brandt, 1835)"
Stylasterias forreri,"(deLoriol, 1887)","Stylasterias forreri (deLoriol, 1887)"
Pycnopodia helianthoides,"(Brandt, 1835)","Pycnopodia helianthoides (Brandt, 1835)"
Henricia,"Gray, 1840","Henricia Gray, 1840"
Henricia aspera aspera,"Fisher, 1906","Henricia aspera aspera Fisher, 1906"
Henricia leviuscula leviuscula,"(Stimpson, 1857)","Henricia leviuscula leviuscula (Stimpson, 1857)"
Henricia pumila,"Eernisse, Strathmann & Strathmann, 2010","Henricia pumila Eernisse, Strathmann & Strathmann, 2010"
Henricia sanguinolenta,"(O.F. Müller, 1776)","Henricia sanguinolenta (O.F. Müller, 1776)"
Luidia foliolata,"Grube, 1866","Luidia foliolata Grube, 1866"
Gephyreaster swifti,"(Fisher, 1905)","Gephyreaster swifti (Fisher, 1905)"
Asterina miniata,"(Brandt, 1835)","Asterina miniata (Brandt, 1835)"
Dermasterias imbricata,"(Grube, 1857)","Dermasterias imbricata (Grube, 1857)"
Ceramaster patagonicus,"(Sladen, 1889)","Ceramaster patagonicus (Sladen, 1889)"
Hippasteria spinosa,"Verrill, 1909","Hippasteria spinosa Verrill, 1909"
Mediaster aequalis,"Stimpson, 1857","Mediaster aequalis Stimpson, 1857"
Poraniopsis inflata,"(Fisher, 1906)","Poraniopsis inflata (Fisher, 1906)"
Crossaster papposus,"(Linnaeus, 1767)","Crossaster papposus (Linnaeus, 1767)"
Lophaster furcilliger,"Fisher, 1905","Lophaster furcilliger Fisher, 1905"
Solaster,"Forbes, 1839","Solaster Forbes, 1839"
