taxon_code,taxonomic_rank,scientific_name,description,marine_code,2023_code,2022_code,2021_code,2020_code,2019_code,2018_code,2017_code,2016_code,2015_code,2014_code,2013_code
SAND,,- Bare sand -,Bare sand,SAND,SAND,SAND,SAND,SAND,SAND,SAND,,,,,
ROCK,,- Rock -,Bare rock,ROCK,ROCK,ROCK,ROCK,ROCK,ROCK,ROCK,ROCK,rock,,,
UNCRU,,- Unknown Crust -,Unknown crust,NONCRU,UNCRU,UNCR,UNCR,UNCR,UNCR,UNCR,,,,,
WATER,,- Water -,Water,,WATER,WATER,WATER,WATER,WATER,WATER,,,,,
NCCR,SUPERDOMAIN,BIOTA,Non-coralline crust,NONCRU,NCCR,NCCR,NCCR,NCCR,NCCR,NCCR,NCC,,,,
NCC,SUPERDOMAIN,BIOTA,Non-coralline crust,NONCRU,NCC,,,,,,NCC,NCC,,,
UNWO,KINGDOM,Animalia,"Unknown ""worm""",,UNWO,UNWO,UNWO,UNWO,UNWO,UNWO,,,,,
CANA,INFRACLASS,Canalipalpata,Unknown tube worm,OTHINV,CANA,CANA,CANA,CANA,CANA,CANA,,,,,
POLY,CLASS,Polychaeta,Unknown polychaete worm,,POLY,POLY,POLY,POLY,POLY,POLY,,,,,
PHRC,SPECIES,Phragmatopoma californica,Honeycomb worm,,PHRC,PHRC,PHRC,PHRC,PHRC,PHRC,,,,,
NEREI,FAMILY,Nereididae,Unknown nereid polychaete,,NEREI,NEREI,,,,,,,,,
NEVE,SPECIES,Nereis vexillosa,Mussel worm,,NEVE,NEVE,NEVE,NEVE,NEVE,NEVE,,,,,
PLATY,GENUS,Platynereis,Unknown Platynereis polychaete,,PLATY,,,,,,,,,,
POLYN,FAMILY,Polynoidae,Unknown scaleworm,,POLYN,POLYN,,,,,,,,,
SERP,FAMILY,Serpulidae,Tube worms,,SERP,SERP,,,,,,,,,
SPIR,GENUS,Spirorbis,Spirorbid worm case,OTHINV,SPIR,SPIR,SPIR,SPIR,SPIR,SPIR,,,,,
DOCO,SPECIES,Dodecaceria concharum,Coralline-fringed tube worm,OTHINV,DOCO,DOCO,,,,,,,,,
THCR,SPECIES,Thelepus crispus,Spaghetti worm,,THCR,THCR,THCR,THCR,THCR,THCR,,,,,
NELI,SPECIES,Neomolgus littoralis,Red velvet mite,,NELI,NELI,NELI,NELI,NELI,NELI,,,,,
POPO,SPECIES,Pollicipes polymerus,Gooseneck barnacle,POLPOL,POPO,POPO,POPO,POPO,POPO,POPO,POPO,,,,
DPOPO,SPECIES,Pollicipes polymerus,DEAD gooseneck barnacle,POLPOL,DPOPO,DPOPO,DPOPO,DPOPO,DPOPO,DPOPO,DPOPO,,,,
SECA,SPECIES,Semibalanus cariosus,Thatched barnacle,SEMCAR,SECA,SECA,SECA,SECA,SECA,SECA,SEMI,s,,,
DSECA,SPECIES,Semibalanus cariosus,DEAD thatched barnacle,DEASEM,DSECA,DSECA,DSECA,DSECA,DSECA,DSECA,DSECA,dsb,,,
BAGL,SPECIES,Balanus glandula,Acorn barnacle,BALGLA,BAGL,BAGL,BAGL,BAGL,BAGL,BAGL,BAL,b,,,
DBAGL,SPECIES,Balanus glandula,DEAD acorn barnacle,DEABAL,DBAGL,DBAGL,DBAGL,DBAGL,DBAGL,DBAGL,DBAGL,db,,,
CHDA,SPECIES,Chthamalus dalli,Little brown barnacle,CHTDAL,CHDA,CHDA,CHDA,CHDA,CHDA,CHDA,CHT,C,,,
DCHDA,SPECIES,Chthamalus dalli,DEAD little brown barnacle,DEACHT,DCHDA,DCHDA,DCHDA,DCHDA,DCHDA,DCHDA,DCHDA,dc,,,
ROVE,FAMILY,Staphylinidae,Rove Beetle,,ROVE,ROVE,ROVE,ROVE,ROVE,ROVE,,,,,
AMPH,ORDER,Amphipoda,Unknown amphipod,,AMPH,AMPH,AMPH,AMPH,AMPH,AMPH,,,,,
GAMM,SUBORDER,Gammaridea,"Unidentified Gammarid amphipod
",,GAMM,GAMM,GAMM,GAMM,GAMM,,,,,,
CAPR,FAMILY,Caprellidae,Unknown skeleton shrimp,,CAPR,CAPR,CAPR,CAPR,CAPR,CAPR,,,,,
UNCR,INFRAORDER,Brachyura,Unknown crab,,UNCR,UNCR,,,,,,,,,
GLOR,SPECIES,Glebocarcinus oregonensis,Pygmy rock crab,,GLOR,GLOR,GLOR,GLOR,GLOR,,,,,,
PUGE,GENUS,Pugettia,Unknown kelp crab,,PUGE,PUGE,PUGE,PUGE,PUGE,PUGE,,,,,
PUGR,SPECIES,Pugettia gracilis,Graceful kelp crab,,PUGR,PUGR,PUGR,PUGR,PUGR,PUGR,,,,,
PUPR,SPECIES,Pugettia producta,Northern kelp crab,,PUPR,PUPR,PUPR,PUPR,PUPR,PUPR,,,,,
PURI,SPECIES,Pugettia richii,Cryptic kelp crab,,PURI,PURI,PURI,PURI,PURI,PURI,,,,,
PACR,SPECIES,Pachygrapsus crassipes,Striped Shore crab,,PACR,PACR,PACR,PACR,PACR,PACR,,,,,
OEIN,SPECIES,Oedignathus inermis,Granular-claw crab,,OEIN,OEIN,OEIN,OEIN,OEIN,OEIN,,,,,
CRTY,SPECIES,Cryptolithodes typicus,Butterfly crab,,CRTY,CRTY,,,,,,,,,
PAGU,GENUS,Pagurus,Unknown Pagurus hermit crab,,PAGU,PAGU,PAGU,PAGU,PAGU,PAGU,HERM,hermit,,,
PABE,SPECIES,Pagurus beringanus,Bering hermit crab,,PABE,PABE,PABE,PABE,PABE,PABE,,,,,
PACA,SPECIES,Pagurus caurinus,,,PACA,PACA,,,,,,,,,
PAGR,SPECIES,Pagurus granosimanus,Granular hermit crab,,PAGR,PAGR,PAGR,PAGR,PAGR,PAGR,,,,,
PAHE,SPECIES,Pagurus hemphilli,Maroon hermit crab,,PAHE,PAHE,PAHE,PAHE,PAHE,PAHE,,,,,
PAHI,SPECIES,Pagurus hirsutiusculus,Hairy hermit crab,,PAHI,PAHI,PAHI,PAHI,PAHI,PAHI,,,,,
PASAM,SPECIES,Pagurus samuelis,Blueband hermit crab,,PASAM,PASAM,PASAM,PASAM,PASAM,PASAM,,,,,
PAND,GENUS,Pandalus,Unknown Pandalus shrimp,,PAND,PAND,PAND,PAND,PAND,PAND,,,,,
LOBE,SPECIES,Lophopanopeus bellus,Blackclaw crab,,LOBE,LOBE,,,,,,,,,
FASU,SPECIES,Fabia subquadrata,Grooved mussel crab,,FASU,FASU,FASU,FASU,FASU,FASU,,,,,
PORC,FAMILY,Porcellanidae,Unknown porcelain crab,,PORC,PORC,PORC,PORC,PORC,PORC,,,,,
PARU,SPECIES,Pachycheles rudis,Thickclaw Porcelain crab,,PARU,PARU,PARU,PARU,PARU,PARU,,,,,
PEPO,GENUS,Petrolisthes,Unknown Petrolisthes porcelain crab,,PEPO,PETRO,PETRO,PETRO,PETRO,PETRO,,,,,
PECI,SPECIES,Petrolisthes cinctipes,Flat Porcelain crab,,PECI,PECI,PECI,PECI,PECI,PECI,,,,,
PEER,SPECIES,Petrolisthes eriomerus,Flattop crab,,PEER,PEER,PEER,PEER,PEER,PEER,,,,,
HENU,SPECIES,Hemigrapsus nudus,Purple Shore Crab,,HENU,HENU,HENU,HENU,HENU,HENU,,,,,
PENT,GENUS,Pentidotea,Unknown Idotea isopod,,PENT,IDOT,IDOT,IDOT,IDOT,IDOT,ISOP,,,,
IDOT,GENUS,Pentidotea,Unknown Idotea isopod,,IDOT,IDOT,IDOT,IDOT,IDOT,IDOT,ISOP,,,,
PEKI,SPECIES,Pentidotea kirchanskii,Surfgrass isopod,,PEKI,IDKI,IDKI,IDKI,IDKI,IDKI,,,,,
IDKI,SPECIES,Pentidotea kirchanskii,Surfgrass isopod,,IDKI,IDKI,IDKI,IDKI,IDKI,IDKI,,,,,
PERE,SPECIES,Pentidotea resecata,Eelgrass isopod,,PERE,PERE,,,,,,,,,
IDRE,SPECIES,Pentidotea resecata,Eelgrass isopod,,IDRE,IDRE,IDRE,,,,,,,,
PEWO,SPECIES,Pentidotea wosnesenskii,Rockweed isopod,,PEWO,PEWO,,,,,,,,,
PYCN,CLASS,Pycnogonida,Sea spider,,PYCN,PYCN,PYCN,PYCN,PYCN,PYCN,,,,,
BRYO,PHYLUM,Bryozoa,Unknown bryozoan,OTHINV,BRYO,BRYO,BRYO,BRYO,BRYO,BRYO,,,,,
HIPI,SPECIES,Hippodiplosia insculpta,Fluted Bryozoan,OTHINV,HIPI,HIPI,HIPI,HIPI,HIPI,HIPI,,,,,
BUGU,GENUS,Bugula,,OTHINV,BUGU,BUGU,BUGU,BUGU,BUGU,BUGU,,,,,
EURB,SPECIES,Eurystomella bilabiata,Derby hat bryozoan,OTHINV,EURB,EURB,EURB,EURB,EURB,EURB,,,,,
FLUC,SPECIES,Flustrellidra corniculata,Spiny leather bryozoan,OTHINV,FLUC,FLUC,FLUC,FLUC,FLUC,FLUC,,,,,
TUNI,SUBPHYLUM,Tunicata,Unknown tunicate,OTHINV,TUNI,TUNI,TUNI,TUNI,TUNI,TUNI,,,,,
UNSC,FAMILY,Cottidae,Unknown Sculpin,,UNSC,UNSC,UNSC,UNSC,UNSC,UNSC,,,,,
TISC,SPECIES,Oligocottus maculosus,Tidepool sculpin,,TISC,TISC,TISC,TISC,TISC,TISC,,,,,
CLAH,SPECIES,Clavelina huntsmani,Light-Bulb Tunicate,OTHINV,CLAH,CLAH,CLAH,CLAH,CLAH,CLAH,,,,,
DIST,GENUS,Distaplia,,OTHINV,DIST,,,,,,,,,,
ARCP,SPECIES,Archidistoma psammion,,OTHINV,ARCP,ARCP,ARCP,ARCP,ARCP,ARCP,,,,,
APSO,SPECIES,Aplidium solidum,Sea Pork,OTHINV,APSO,APSO,APSO,APSO,APSO,APSO,,,,,
RITT,GENUS,Ritterella,Tunicate,OTHINV,RITT,RITT,RITT,RITT,RITT,RITT,,,,,
RITR,SPECIES,Ritterella rubra,Red mushroom compound tunicate,OTHINV,RITR,RITR,RITR,RITR,RITR,RITR,,,,,
PERA,SPECIES,Perophora annectens,Yellow social tunicate,OTHINV,PERA,PERA,PERA,PERA,PERA,PERA,,,,,
STYE,GENUS,Styela,Unknown Styela tunicate,OTHINV,STYE,STYE,STYE,STYE,STYE,STYE,,,,,
STMO,SPECIES,Styela montereyensis,,OTHINV,STMO,STMO,,,,,,,,,
STYY,SPECIES,Styela yakutatensis,Club Tunicate,OTHINV,STYY,STYY,STYY,STYY,STYY,STYY,,,,,
ANEM,ORDER,Actiniaria,Unknown sea anemone,OTHINV,ANEM,ANEM,ANEM,ANEM,ANEM,ANEM,ANEM,a,,,
ANAR,SPECIES,Anthopleura artemisia,Burrowing anemone,,ANAR,,,,,,,,,,
ANEL,SPECIES,Anthopleura elegantissima,Aggregating anenome,ANTELE,ANEL,ANEL,ANEL,ANEL,ANEL,ANEL,ANEL,,,,
ANTS,SPECIES,Anthopleura sola,Sunburst anemone,ANTELE,ANTS,ANTS,ANTS,ANTS,ANTS,ANTS,,,,,
ANXA,SPECIES,Anthopleura xanthogrammica,Giant green anemone,ANTXAN,ANXA,ANXA,ANXA,ANXA,ANXA,ANXA,,,,,
EPLI,SPECIES,Epiactis lisbethae,Giant brooding anemone,OTHINV,EPLI,EPLI,,,,,,,,,
EPIR,SPECIES,Epiactis ritteri,Brooding anemone,OTHINV,EPIR,EPIR,EPIR,EPIR,EPIR,EPIR,,,,,
URCR,SPECIES,Urticina crassicornis,Painted anemone,OTHINV,URCR,URCR,,,,,,,,,
METR,GENUS,Metridium,Plumose anemone,OTHINV,METR,,,,,,,,,,
ALCY,ORDER,Alcyonacea,Unknown soft coral,OTHINV,ALCY,ALCY,ALCY,ALCY,ALCY,ALCY,,,,,
HYDR,CLASS,Hydrozoa,Unknown hydrozoan,OTHINV,HYDR,HYDR,HYDR,HYDR,HYDR,HYDR,,,,,
CHYD,CLASS,Hydrozoa,Unknown colonial hydroid,OTHINV,CHYD,,,,,,,,,,
SHYD,CLASS,Hydrozoa,Unknown solitary hydroid,OTHINV,SHYD,SHYD,,,,,,,,,
EUDC,SPECIES,Eudendrium californicum,Brown bushy hydroid,OTHINV,EUDC,EUDC,EUDC,EUDC,EUDC,EUDC,,,,,
CLAV,GENUS,Clava,,OTHINV,CLAV,CLAV,,,,,,,,,
ECTOP,GENUS,Ectopleura,Stalked jelly,OTHINV,ECTOP,ECTOP,,,,,,,,,
AGLL,SPECIES,Aglaophenia latirostris,Ostrich plume hydroid,OTHINV,AGLL,AGLL,AGLL,AGLL,AGLL,AGLL,,,,,
SERT,SPECIES,Sertularella turgida,Surfgrass hydroid,OTHINV,SERT,SERT,SERT,SERT,SERT,SERT,,,,,
ABIE,GENUS,Abietinaria,Unknown Abietinaria hydroid,OTHINV,ABIE,,,,,,,,,,
ABGR,SPECIES,Abietinaria greenei,Fibre-optic hydroid,OTHINV,ABGR,ABGR,ABGR,ABGR,ABGR,ABGR,,,,,
AMFU,SPECIES,Amphisbetia furcata,,OTHINV,AMFU,AMFU,,,,,,,,,
UNJS,CLASS,Asteroidea,Sea star juvenile,OTHSEA,UNJS,UNJS,UNJS,UNJS,UNJS,UNJS,,,,,
EVTR,SPECIES,Evasterias troschelii,Mottled star,OTHSEA,EVTR,EVTR,EVTR,EVTR,EVTR,EVTR,,,,,
LEPT,GENUS,Leptasterias,Six-armed star,LEPTAS,LEPT,LEPT,LEPT,LEPT,LEPT,LEPT,,,,,
LEHE,SPECIES,Leptasterias hexactis,Drab Six-armed Star,LEPTAS,LEHE,LEHE,LEHE,LEHE,LEHE,LEHE,,,,,
PIGI,SPECIES,Pisaster giganteus,Giant sea star,OTHSEA,PIGI,PIGI,PIGI,PIGI,PIGI,PIGI,,,,,
PIOC,SPECIES,Pisaster ochraceus,Ochre star,PISOCH,PIOC,PIOC,PIOC,PIOC,PIOC,PIOC,PISA,,,,
PYHE,SPECIES,Pycnopodia helianthoides,Sunflower Star,OTHSEA,PYHE,PYHE,PYHE,PYHE,PYHE,PYHE,,,,,
HENR,GENUS,Henricia,Unknown blood star,,HENR,HENR,HENR,HENR,HENR,HENR,,,,,
HEPU,SPECIES,Henricia pumila,Mottled blood star,OTHSEA,HEPU,HEPU,HEPU,HEPU,HEPU,HEPU,,,,,
ASMI,SPECIES,Asterina miniata,Bat star,PATMIN,ASMI,,,,,,,,,,
DEIM,SPECIES,Dermasterias imbricata,Leather star,,DEIM,DEIM,DEIM,DEIM,DEIM,DEIM,,,,,
MEAE,SPECIES,Mediaster aequalis,Vermillion star,OTHSEA,MEAE,,,,,,,,,,
URCH,CLASS,Echinoidea,Unknown sea urchin,OTHINV,URCH,URCH,URCH,URCH,URCH,URCH,,,,,
MEFR,SPECIES,Mesocentrotus franciscanus,Red urchin,OTHINV,MEFR,MEFR,MEFR,MEFR,MEFR,MEFR,STFR,,,,
STRO,GENUS,Strongylocentrotus,Unknown Strongylocentrotus sea urchin,OTHINV,STRO,STRO,STRO,STRO,STRO,STRO,,,,,
STDR,SPECIES,Strongylocentrotus droebachiensis,Green urchin,OTHINV,STDR,STDR,STDR,STDR,STDR,STDR,,,,,
STPA,SPECIES,Strongylocentrotus pallidus,White Urchin,OTHINV,STPA,STPA,STPA,STPA,STPA,STPA,,,,,
STPU,SPECIES,Strongylocentrotus purpuratus,Purple urchin,STRPUR,STPU,STPU,STPU,STPU,STPU,STPU,,,,,
HOLO,CLASS,Holothuroidea,Unknown sea cucumber,,HOLO,HOLO,HOLO,HOLO,HOLO,HOLO,,,,,
CUCU,GENUS,Cucumaria,Cucumaria sea cucumber,,CUCU,CUCU,CUCU,CUCU,CUCU,CUCU,,,,,
CUMI,SPECIES,Cucumaria miniata,Orange sea cucumber,,CUMI,,,,,,,,,,
CUPS,SPECIES,Cucumaria pseudocurata,Tar spot sea cucumber,,CUPS,,,,,,,,,,
PSEU,GENUS,Pseudocnus,Pseudocnus sea cucumber,,PSEU,PSEU,PSEU,PSEU,PSEU,PSEU,,,,,
PSCU,SPECIES,Pseudocnus curatus,Little black cucumber,,PSCU,PSCU,,,,,,,,,
APCA,SPECIES,Parastichopus californicus,California sea cucumber,,APCA,,,,,,,,,,
OPHI,CLASS,Ophiuroidea,Brittle stars,,OPHI,OPHI,OPHI,OPHI,OPHI,OPHI,,,,,
ENNA,SPECIES,Entodesma navicula,Rock entodesma,OTHINV,ENNA,ENNA,ENNA,ENNA,ENNA,,,,,,
PLAC,SPECIES,Platyodon cancellatus,Boring Clam,OTHINV,PLAC,PLAC,PLAC,PLAC,PLAC,PLAC,,,,,
BRAC,FAMILY,Mytilidae,Brachidontes | Septifer spp. ,OTHINV,BRAC,BRAC,BRAC,BRAC,BRAC,BRAC,,,,,
MYTI,GENUS,Mytilus,Unknown mussel,,MYTI,MYTI,MYTI,MYTI,MYTI,MYTI,,,,,
MYCA,SPECIES,Mytilus californianus,California blue mussel,MYTCAL,MYCA,MYCA,MYCA,MYCA,MYCA,MYCA,MYTI,m,,,
DMYCA,SPECIES,Mytilus californianus,DEAD California blue mussel,DEAMCA,DMYCA,DMYCA,DMYCA,DMYCA,DMYCA,DMYCA,DMYCA,,,,
MYTR,SPECIES,Mytilus trossulus,Blue mussel,MYTTRO,MYTR,MYTR,MYTR,MYTR,MYTR,MYTR,,,,,
JING,FAMILY,Anomiidae,Unknown jingle shell,OTHINV,JING,JING,JING,JING,JING,JING,,,,,
POMA,SPECIES,Pododesmus macrochisma,Money Shell,OTHINV,POMA,POMA,POMA,POMA,POMA,,,,,,
PECT,FAMILY,Pectinidae,Unidentified scallop,,PECT,,,,,,,,,,
CHLA,GENUS,Chlamys,Unknown scallop,,CHLA,CHLA,,,,,,,,,
CRGI,SPECIES,Crassadoma gigantea,Rock Scallop,OTHINV,CRGI,CRGI,CRGI,CRGI,CRGI,CRGI,,,,,
LEST,SPECIES,Leukoma staminea,Pacific littleneck clam,,LEST,LEST,LEST,LEST,LEST,LEST,,,,,
UNSN,CLASS,Gastropoda,Unidentified snail,,UNSN,UNSN,UNSN,UNSN,UNSN,UNSN,,,,,
LIMP,CLASS,Gastropoda,Unknown limpet,,LIMP,LIMP,LIMP,LIMP,LIMP,LIMP,LIMP,li,,,
ACMI,SPECIES,Acmaea mitra,White-cap limpet,,ACMI,ACMI,ACMI,ACMI,ACMI,ACMI,,,,,
LOTT,GENUS,Lottia,"Unknown Lottia ""limpet""",,LOTT,LOTT,LOTT,LOTT,LOTT,LOTT,,,,,
LOAS,SPECIES,Lottia asmi,little black limpet,,LOAS,LOAS,,,,,,,,,
LODI,SPECIES,Lottia digitalis,Fingered limpet,,LODI,LODI,LODI,LODI,LODI,LODI,,,,,
LOPA,SPECIES,Lottia paradigitalis,Boreal limpet,,LOPA,LOPA,LOPA,LOPA,LOPA,LOPA,,,,,
LOPE,SPECIES,Lottia pelta,Shield limpet,,LOPE,LOPE,LOPE,LOPE,LOPE,LOPE,,,,,
LOSC,SPECIES,Lottia scutum,Plate limpet,,LOSC,LOSC,LOSC,LOSC,LOSC,LOSC,,,,,
BATI,GENUS,Batillaria,Horn snail,,BATI,BATI,BATI,BATI,BATI,,,,,,
