taxon_code,taxonomic_rank,scientific_name,description,marine_code,2023_code,2022_code,2021_code,2020_code,2019_code,2018_code,2017_code,2016_code,2015_code,2014_code,2013_code
NEES,SPECIES,Neostylidium eschrichtii,Slender bittium,,NEES,BIES,BIES,BIES,BIES,BIES,,,,,
BIES,SPECIES,Neostylidium eschrichtii,Slender bittium,,BIES,BIES,BIES,BIES,BIES,BIES,,,,,
DIAS,SPECIES,Diodora aspera,Keyhole limpet,,DIAS,DIAS,DIAS,DIAS,DIAS,DIAS,,,,,
FIBI,SPECIES,Fissurellidea bimaculata,,,FIBI,FIBI,,,,,,,,,
HAKA,SPECIES,Haliotis kamtschatkana,Northern abalone,,HAKA,HAKA,HAKA,HAKA,HAKA,HAKA,,,,,
CREP,GENUS,Crepidula,Unknown slipper snail,OTHINV,CREP,CREP,CREP,CREP,CREP,CREP,,,,,
MEMI,SPECIES,Melanella micans,Shining balcis,,MEMI,,,,,,,,,,
LACU,GENUS,Lacuna,Lacuna snail,,LACU,LACU,LACU,LACU,LACU,LACU,,,,,
LAEG,GENUS,Lacuna,Lacuna eggs,,LAEG,LAEG,LAEG,LAEG,LAEG,LAEG,,,,,
LITT,GENUS,Littorina,Unknown periwinkle,,LITT,LITT,LITT,LITT,LITT,LITT,LITT,lit,,,
LIPL,SPECIES,Littorina plena,Black periwinkle,,LIPL,LIPL,LIPL,LIPL,LIPL,LIPL,,,,,
LISC,SPECIES,Littorina scutulata,Checkered periwinkle,,LISC,LISC,LISC,LISC,LISC,LISC,,,,,
LISI,SPECIES,Littorina sitkana,Sitka periwinkle,,LISI,LISI,LISI,LISI,LISI,LISI,,,,,
SEDI,SPECIES,Searlesia dira,Dire whelk,,SEDI,SEDI,SEDI,SEDI,SEDI,SEDI,,,,,
BUCC,FAMILY,Buccinidae,Unknown Buccinidae snail,,BUCC,,,,,,,,,,
COLU,FAMILY,Columbellidae,Unknown Columbellid snail,,COLU,COLU,,,,,,,,,
ALDS,GENUS,Alia,Unknown Alia dove snail,OTHINV,ALDS,ALDS,ALDS,ALDS,ALDS,ALDS,,,,,
ALCA,SPECIES,Alia carinata,Carinate dovesnail,,ALCA,ALCA,ALCA,ALCA,ALCA,ALCA,,,,,
AMDS,GENUS,Amphissa,Unknown Amphissa dove snail,,AMDS,AMDS,AMDS,AMDS,AMDS,AMDS,,,,,
AMPC,SPECIES,Amphissa columbiana,Wrinkled amphissa,,AMPC,AMPC,AMPC,AMPC,AMPC,AMPC,,,,,
AMCO,SPECIES,Amphissa columbiana,Columbia amphissa,,AMCO,,,,,,,,,,
AMVE,SPECIES,Amphissa versicolor,Variegate amphissa,,AMVE,AMVE,AMVE,AMVE,AMVE,AMVE,,,,,
ASTY,GENUS,Astyris,Astyris snail,,ASTY,ASTY,,,,,,,,,
CEFO,SPECIES,Ceratostoma foliatum,Leafy hornmouth,,CEFO,CEFO,,,,,,,,,
CENU,SPECIES,Ceratostoma nuttalli,Nuttal's hornmouth,,CENU,CENU,CENU,CENU,CENU,CENU,,,,,
NUCE,GENUS,Nucella,Unknown dog whelk,,NUCE,NUCE,NUCE,NUCE,NUCE,NUCE,,,,,
NUEG,GENUS,Nucella,Unknown dog whelk eggs,,NUEG,NUEG,NUEG,NUEG,NUEG,NUEG,,,,,
NUCA,SPECIES,Nucella canaliculata,Channelled dog whelk,,NUCA,NUCA,NUCA,NUCA,NUCA,NUCA,,,,,
NUCO,SPECIES,Nucella emarginata,Northern striped dogwinkle,,NUCO,NUCO,NUCO,NUCO,NUCO,NUCO,,,,,
NULA,SPECIES,Nucella lamellosa,Frilled dog whelk,,NULA,NULA,NULA,NULA,NULA,NULA,,,,,
NUOS,SPECIES,Nucella ostrina,Northern striped dog whelk,,NUOS,NUOS,NUOS,NUOS,NUOS,NUOS,,,,,
PAIN,SPECIES,Paciocinebrina interfossa,Sculptured rocksnail,,,,,,,,,,,,
LIDI,SPECIES,Lirabuccinum dirum,dire whelk,,LIDI,,,,,,,,,,
UNNU,ORDER,Nudibranchia,Unknown nudibranch,,UNNU,UNNU,UNNU,UNNU,UNNU,UNNU,,,,,
CAMO,SPECIES,Cadlina modesta,Modest Cadlina nudibranch,,CAMO,,,,,,,,,,
COTR,SPECIES,Coryphella trilineata,Three-lined nudibranch,,COTR,,,,,,,,,,
DIRA,SPECIES,Dirona albolineata,Frosted nudibranch,,DIRA,DIRA,DIRA,DIRA,DIRA,DIRA,,,,,
PENO,SPECIES,Peltodoris nobilis,Noble sea lemon,,PENO,PENO,PENO,PENO,PENO,PENO,,,,,
DORY,FAMILY,Dorididae,Unknown yellow dorid,,DORY,DORY,DORY,DORY,DORY,DORY,,,,,
DORI,FAMILY,Dorididae,Unknown Dorid nudibranch,,DORI,DORI,DORI,DORI,DORI,DORI,,,,,
HECR,SPECIES,Hermissenda crassicornis,Opalescent nudibranch,,HECR,HECR,HECR,HECR,HECR,HECR,,,,,
TRIC,SPECIES,Triopha catalinae,Clown nudibrach,,TRIC,TRIC,TRIC,TRIC,TRIC,TRIC,,,,,
ONBO,SPECIES,Onchidella borealis,Leather limpet,,ONBO,ONBO,ONBO,ONBO,ONBO,ONBO,,,,,
CALL,GENUS,Calliostoma,Unknown Calliostoma topsnail,,CALL,CALL,CALL,CALL,CALL,CALL,,,,,
CALA,SPECIES,Calliostoma annulatum,Purple topsnail,,CALA,CALA,CALA,CALA,CALA,CALA,,,,,
CACA,SPECIES,Calliostoma canaliculatum,Channeled topsnail,,CACA,CACA,CACA,CACA,CACA,CACA,,,,,
CALI,SPECIES,Calliostoma ligatum,Black and white topsnail,,CALI,CALI,CALI,CALI,CALI,CALI,,,,,
HOMA,GENUS,Homalopoma,Dwarf turban snail,,HOMA,HOMA,HOMA,HOMA,HOMA,HOMA,,,,,
MARG,GENUS,Margarites,Pearly topsnails,,MARG,MARG,,,,,,,,,
TEFU,SPECIES,Tegula funebralis,Black turban snail,,TEFU,TEFU,TEFU,TEFU,TEFU,TEFU,TURB,,,,
TEPU,SPECIES,Tegula pulligo,Dusky turban snail,,TEPU,TEPU,TEPU,TEPU,TEPU,TEPU,,,,,
TROC,FAMILY,Trochidae,Topsnails,,TROC,TROC,,,,,,,,,
PPLAC,CLASS,Polyplacophora,Unknown chiton,CHITON,PPLAC,PPLAC,PPLAC,PPLAC,PPLAC,PPLAC,,,,,
CRST,SPECIES,Cryptochiton stelleri,Gumboot chiton,CHITON,CRST,CRST,CRST,CRST,CRST,CRST,,,,,
LEPIZ,GENUS,Lepidozona,Unknown Lepidozona chiton,CHITON,LEPIZ,LEPIZ,LEPIZ,LEPIZ,LEPIZ,LEPIZ,,,,,
LEME,SPECIES,Lepidozona mertensii,,CHITON,LEME,LEME,,,,,,,,,
KATU,SPECIES,Katharina tunicata,Leather chiton,KATTUN,KATU,KATU,KATU,KATU,KATU,KATU,,,,,
MOPA,GENUS,Mopalia,Unknown mossy chiton,,MOPA,MOPA,MOPA,MOPA,MOPA,MOPA,CHIT,chiton,,,
PLRU,SPECIES,Placiphorella rufa,Red veiled chiton,CHITON,PLRU,PLRU,,,,,,,,,
CYAN,GENUS,Cyanoplax,Unknown Cyanoplax chiton,CHITON,CYAN,LEPI,LEPI,LEPI,LEPI,LEPI,,,,,
LEPI,GENUS,Cyanoplax,Unknown Cyanoplax chiton,CHITON,LEPI,LEPI,LEPI,LEPI,LEPI,LEPI,,,,,
CYDE,SPECIES,Cyanoplax dentiens,Goulds Baby Chiton,CHITON,CYDE,LEDE,LEDE,LEDE,LEDE,LEDE,,,,,
LEDE,SPECIES,Cyanoplax dentiens,Goulds Baby Chiton,CHITON,LEDE,LEDE,LEDE,LEDE,LEDE,LEDE,,,,,
CYPR,SPECIES,Cyanoplax hartwegii,,CHITON,CYPR,LEPR,LEPR,LEPR,LEPR,LEPR,,,,,
TONI,GENUS,Tonicella,Tonicella chiton,CHITON,TONI,TONI,TONI,TONI,TONI,TONI,,,,,
TOIN,SPECIES,Tonicella insignis,,CHITON,TOIN,TOIN,,,,,,,,,
TONL,SPECIES,Tonicella lineata,Lined chiton,CHITON,TONL,TONL,TONL,TONL,TONL,TONL,,,,,
TOUN,SPECIES,Tonicella undocaerulea,,CHITON,TOUN,TOUN,,,,,,,,,
NEMA,PHYLUM,Nematoda,Unknown roundworm,,NEMA,NEMA,NEMA,NEMA,NEMA,NEMA,,,,,
NEME,PHYLUM,Nemertea,Ribbon worm,,NEME,NEME,NEME,NEME,NEME,NEME,,,,,
AMRW,GENUS,Amphiporus,Amphiporus ribbon worm,,AMRW,AMRW,AMRW,AMRW,AMRW,AMRW,,,,,
AMIM,SPECIES,Amphiporus imparispinosus,Pink-fronted ribbon worm,,AMIM,,,,,,,,,,
